key,english,de,fr,es,pt,nl,it,ja,pl,nb,da,sl,sr,ru,sk,pt-BR,cs,hu,el,he,bg,sv,id,tr,ar,hy,ro,zh,ko,fa,ur,hi
__language__,English,Deutsch,Français,Español,Português,Nederlands,Italiano,日本語,Polski,Norsk,Dansk,Slovenščina,Српски,Русский,Slovenčina,Português (BR),Čeština,Magyar,Ελληνικά,עברית,Български,Svenska,Bahasa Indonesia,Türkçe,العربية,Հայերեն,Română,中文 (繁體),한국어,فارسی,اردو,हिन्दी
__status__,canonical,realigned-from-german-order,existing-VERIFY-align,realigned-from-german-order,existing-VERIFY-align,existing-VERIFY-align,existing-VERIFY-align,existing-VERIFY-align,existing-VERIFY-align,aligned-ok,aligned-ok,aligned-ok,aligned-ok,aligned-ok (image OCR),aligned (4/5 swap; NO anchors on source),aligned (1/6 swap from source),aligned (4/5 swap; no anchors/qhead on source; user OCR),aligned (4/5 swap); item 9 TRUNCATED in source image — verify,aligned (canonical order),aligned (4/5 swap); RTL,aligned (German native order),"aligned (mixed: items 1-5 EN order, 6-10 DE order)",aligned — REVIEW (variant order; E6/E8 + anchor4 uncertain),"aligned — REVIEW (Turkish variant, heavily reordered)","aligned (German native order); RTL; items 6,7,10 minor blur in source — verify",aligned (canonical order); image-transcribed from armen1/armen2.gif — VERIFY w/ native speaker,aligned (canonical); text confirmed & cleaned; frequency-style anchors per source,aligned (canonical); image-transcribed — verify,aligned (German native order); image-transcribed — verify,aligned (canonical); clean text from image; RTL,aligned (canonical); clean text from image; RTL,aligned (canonical; English glosses on page confirm); image-transcribed
__source__,,https://userpage.fu-berlin.de/~health/germscal.htm,https://userpage.fu-berlin.de/~health/french.htm,https://userpage.fu-berlin.de/~health/spanscal.htm,https://userpage.fu-berlin.de/~health/auto.htm,https://userpage.fu-berlin.de/~health/dutch.htm,https://userpage.fu-berlin.de/~health/italian.htm,https://userpage.fu-berlin.de/~health/japan.htm,https://userpage.fu-berlin.de/~health/polish.htm,https://userpage.fu-berlin.de/~health/norway.htm,https://userpage.fu-berlin.de/~health/danish.htm,https://userpage.fu-berlin.de/~health/slovenia.htm,https://userpage.fu-berlin.de/~health/serbian.html,https://userpage.fu-berlin.de/~health/russian.htm,https://userpage.fu-berlin.de/~health/slovak.htm,https://userpage.fu-berlin.de/~health/brazilian.pdf,https://userpage.fu-berlin.de/~health/czec.htm,https://userpage.fu-berlin.de/~health/hungar.htm,https://userpage.fu-berlin.de/~health/greek.htm,https://userpage.fu-berlin.de/~health/hebrew.htm,https://userpage.fu-berlin.de/~health/bulscal.htm,https://userpage.fu-berlin.de/~health/swedish.htm,https://userpage.fu-berlin.de/~health/indonese.htm,https://userpage.fu-berlin.de/~health/turk.htm,https://userpage.fu-berlin.de/~health/arabic.htm,https://userpage.fu-berlin.de/~health/armenia.htm,https://userpage.fu-berlin.de/~health/rumania.htm,https://userpage.fu-berlin.de/~health/chinese.htm,https://userpage.fu-berlin.de/~health/korean.htm,https://userpage.fu-berlin.de/~health/persean.htm,https://userpage.fu-berlin.de/~health/urdu.htm,https://userpage.fu-berlin.de/~health/hindi.htm
gse_qhead,Please indicate your level of agreement with each of the following statements.,"Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen.",Veuillez indiquer votre niveau d'accord avec chacune des affirmations suivantes.,"Por favor, indique su nivel de acuerdo con cada una de las siguientes afirmaciones.","Por favor, indique o seu nível de concordância com cada uma das seguintes afirmações.",Geef aan in hoeverre u het eens bent met elk van de volgende uitspraken.,Indichi il suo livello di accordo con ciascuna delle seguenti affermazioni.,以下の各項目について、あなたの考えに最も近いものをお選びください。,"Proszę wskazać, w jakim stopniu zgadza się Pan/Pani z każdym z poniższych stwierdzeń.",,,,,,,,,"Kérjük, hogy az alábbiak közül az Önre leginkább találó felelet számát írja a kijelentések melletti vonalkára:",,,,,,,,,"Mai jos sunt prezentate zece afirmații reprezentând atitudini pe care este posibil să le adoptați când vă confruntați cu o situație dificilă. Citiți cu atenție fiecare afirmație și însemnați cifra care credeți că indică cel mai bine modul dumneavoastră de a acționa în general. Nu există răspunsuri corecte sau greșite, deci vă rugăm să răspundeți sincer. Vă mulțumim.",,,,,
gse1,I can always manage to solve difficult problems if I try hard enough.,"Die Lösung schwieriger Probleme gelingt mir immer, wenn ich mich darum bemühe.",Je peux arriver toujours à résoudre mes difficultés si j'essaie assez fort.,Puedo resolver problemas difíciles si me esfuerzo lo suficiente.,Eu consigo resolver sempre os problemas difíceis se eu tentar bastante.,"Het lukt me altijd moeilijke problemen op te lossen, als ik er genoeg moeite voor doe.",Riesco sempre a risolvere problemi difficili se ci provo abbastanza seriamente.,私は、一生懸命がんばれば、困難な問題でもいつも解決することができる。,"Zawsze jestem w stanie rozwiązać trudne problemy, jeśli tylko wystarczająco się postaram.",Jeg klarer alltid å løse vanskelige problemer hvis jeg prøver hardt nok.,"Jeg kan altid løse vanskelige problemer, hvis jeg prøver ihærdigt nok","Vedno uspem rešiti težave, če se le dovolj potrudim.","Ako se dovoljno potrudim, uvek mogu da prebrodim teške probleme.","Если я как следует постараюсь, то я всегда найду решение даже сложным проблемам.","Vždy si viem poradiť s riešením náročných problémov, keď sa o to dostatočne snažím",Consigo sempre resolver os problemas difíceis quando me esforço bastante.,"Když se o to opravdu usilovně snažím, pak mohu vždy zvládat nesnadné problémy.","Mindig sikerül megoldanom a nehéz problémákat, ha nagyon akarom.",Πάντα καταφέρνω να λύνω δύσκολα προβλήματα εάν θέλω προσπαθήσω αρκετά.,תמיד אוכל למצוא פתרון לבעיות קשות אם אשתדל מספיק חזק.,"Разрешаването на сложни проблеми ми се удава винаги, когато се постарая.",Jag lyckas alltid lösa svåra problem om jag bara anstränger mig tillräckligt.,"Pemecahan soal-soal yang sulit selalu berhasil bagi saya, kalau saya berusaha.",Güç sorunların çözümünü eğer gayret edersem her zaman başarırım.,أستطيع دائماً حل المشاكل الصعبة إذا أجهدت نفسي بما فيه الكفاية.,"Ես միշտ կարող եմ դժվար հարցերը լուծել, եթե պետք եղած չափով ջանքեր թափեմ:","Dacă insist, reușesc să-mi rezolv problemele dificile.",如果我盡力去做的話，我總是能夠解決難題的。,어려운 일도 내가 노력하면 해결할 수 있다.,اگر به اندازه کافی تلاش کنم همیشه قادر به حل مشکلات سخت می‌باشم.,میں ہمیشہ مشکل مسائل کو حل کرنے میں کامیاب ہو سکتا/سکتی ہوں، اگر میں پوری کوشش کروں۔,यदि मैं कठिन प्रयत्न करूं तो मैं हमेशा कठिन समस्याओं का समाधान कर सकता/सकती हूं।
gse2,"If someone opposes me, I can find the ways and means to get what I want.","Wenn sich Widerstände auftun, finde ich Mittel und Wege, mich durchzusetzen.","Si quelqu'un s'oppose à moi, je peux trouver une façon pour obtenir ce que je veux.",Puedo encontrar la manera de obtener lo que quiero aunque alguien se me oponga.,"Se alguém se opuser, eu posso encontrar os meios e as formas de alcançar o que eu quero.","Als iemand mij tegenwerkt, vind ik toch manieren om te krijgen wat ik wil.","Se qualcuno mi contrasta, posso trovare il modo o il sistema di ottenere ciò che voglio.",私は、誰かが私に反対しても、自分が欲しいものを手にするための手段や道を探すことができる。,"Nawet gdy ktoś mi się sprzeciwia, jestem w stanie znaleźć sposób na osiągnięcie tego, czego chcę.","Hvis noen motarbeider meg, så kan jeg finne måter og veier for å få det som jeg vil.","Hvis nogen modarbejder mig, finder jeg en måde til at opnå det, jeg vil","Tudi kadar mi kdo nasprotuje, najdem načine in poti, da dosežem to, kar želim.","I ako mi se neko suprotstavi, ja mogu da pronađem sredstva i načine da dobijem ono što želim.","Если мне что-либо мешает, то я всё же нахожу пути достижения своей цели.","Ak je niekto voči mne v opozícii, dokážem nájsť prostriedky a spôsoby, ako dosiahnuť to, čo chcem",Mesmo que alguém se oponha eu encontro maneiras e formas de alcançar o que quero.,"Když se někdo postaví proti mně, mohu nalézti způsob, jak dosáhnout toho, čeho dosáhnout chci.","Ha valaki szembeszegül velem, megtalálom a módját, hogy elérjem amit szeretnék.",Εάν κάποιος μου αντιτίθεται μπορώ πάντα να βρω τρόπους να κάνω αυτό που θέλω εγώ.,"אם מישהו מתנגד לי, אוכל למצוא אמצעים ודרכים להשיג מה שאני רוצה.","Когато възникнат препятствия, намирам начин и път да ги преодолея.",Även om någon motarbetar mig hittar jag ändå utvägar att nå mina mål.,"Jika seseorang menghambat tujuan saya, saya akan mencari cara dan jalan untuk meneruskannya.",Bana karşı çıkıldığında kendimi kabul ettirecek çare ve yolları bulurum.,إذا عارضني شخص ما، أستطيع إيجاد طرق ووسائل لتحقيق ما أبتغيه.,"Եթե մեկը ինձ ընդդիմանա, կարող եմ միջոցներ և ձևեր գտնել ուզածիս հասնելու համար:","Chiar dacă cineva mi se opune, găsesc mijloacele pentru a obține ceea ce vreau.",即使別人反對我，我仍有辦法取得我所要的。,다른 사람이 내 의견에 반대해도 나는 끝까지 내 뜻대로 한다.,اگر کسی با من مخالفت کند، می‌توانم راه و روش‌هایی برای رسیدن به آنچه می‌خواهم را پیدا کنم.,اگر کوئی میری مخالفت کرتا ہو تو میں جو چاہتا/چاہتی ہوں وہ حاصل کرنے کے لیئے راستے اور ذرائع تلاش کر سکتا/سکتی ہوں۔,यदि कोई मेरा विरोध करता है तो भी मैं अपने उद्देश्य की प्राप्ति के लिए कई साधन और तरीके ढूंढ ही लेता/लेती हूं।
gse3,I am certain that I can accomplish my goals.,"Es bereitet mir keine Schwierigkeiten, meine Absichten und Ziele zu verwirklichen.",C'est facile pour moi de maintenir mon attention sur mes objectifs et accomplir mes buts.,Me es fácil persistir en lo que me he propuesto hasta llegar a alcanzar mis metas.,É fácil para mim agarrar-me às minhas intenções e atingir os meus objectivos.,Het is voor mij makkelijk om vast te houden aan mijn plannen en mijn doel te bereiken.,Per me è facile attenermi alle mie intenzioni e raggiungere i miei obiettivi.,目的を見失わず、ゴールを達成することは私にとって難しいことではない。,Z łatwością potrafię trzymać się swoich celów i je osiągać.,Det er lett for meg å holde fast på planene mine og nå målene mine.,Det er let for mig at holde fast ved mine planer og realisere mine mål,Z lahkoto ostajam pri svojih namerah in dosegam svoje cilje.,Lako mi je da dostignem svoje ciljeve i ostvarim svoje namere.,Мне довольно просто удается достичь своих целей.,"Je pre mňa ľahké držať sa toho, čo som si zaumienil a dosiahnuť to",Tenho facilidade para persistir em minhas intenções e alcançar meus objetivos.,"Pro mne je poměrně snadné držet se svých předsevzetí a dosáhnout cílů, které si postavím.","Nem esik nehezemre, hogy kitartsak szándékaim mellett és elérjem a céljaimat.",Μου είναι εύκολο να παραμείνω σταθερή(ός) στους στόχους μου και να πραγματοποιήσω τις επιδιώξεις μου.,קל לי לדבוק במטרותיי ולהשיג אותן.,Не срещам никакви трудности в реализирането на намеренията и целите си.,Jag har inga svårigheter att hålla fast vid mina målsättningar och förverkliga mina mål.,Saya tidak mempunyai kesulitan untuk melaksanakan niat dan tujuan saya.,Tasarılarımı gerçekleştirmek ve hedeflerime erişmek bana güç gelmez.,يسهل عليّ تحقيق أهدافي ونواياي.,Ինձ համար հեշտ է ձգտումներս հետապնդել և նպատակներս իրագործել:,Este ușor pentru mine să persist în îndeplinirea scopurilor mele.,對我來說，堅持理想和達成目標是輕而易舉的。,나는 마음먹은 일을 해 내는데 어려움이 없다고 생각한다.,براحتی می‌توانم اهدافم را دنبال کنم و به مقصودم برسم.,مجھے یقین ہے کہ میں اپنے مقاصد حاصل کر سکتا/سکتی ہوں۔,मेरे लिए अपने लक्ष्य पर टिके रहना और अपने उद्देश्य को पूरा करना आसान है।
gse4,I am confident that I could deal efficiently with unexpected events.,"In unerwarteten Situationen weiß ich immer, wie ich mich verhalten soll.",J'ai confiance que je peux faire face efficacement aux événements inattendus.,Tengo confianza en que podría manejar eficazmente acontecimientos inesperados.,"Eu estou confiante que poderia lidar, eficientemente, com acontecimentos inesperados.",Ik vertrouw erop dat ik onverwachte gebeurtenissen doeltreffend aanpak.,Ho fiducia di poter affrontare efficacemente eventi inattesi.,予期せぬ出来事に遭遇しても、私は効率よく対処できる自信がある。,"Jestem przekonany, że skutecznie poradziłbym sobie z nieoczekiwanymi wydarzeniami.",Jeg føler meg trygg på at jeg ville kunne takle uventede hendelser på en effektiv måte.,"Jeg er sikker på, at jeg kan håndtere uventede hændelser","Prepričan sem, da se znam učinkovito spoprijeti z nepričakovanimi dogodki.",Siguran sam da mogu uspešno da izađem na kraj sa neočekivanim događajima.,"В неожиданных ситуациях я всегда знаю, как я должен себя вести.","Som si istý/-á, že dokážem účinne zvládnuť neočakávané udalosti",Tenho confiança para me sair bem em situações inesperadas.,"Důvěřuji si plně, že mohu efektivně zvládat neočekávané situace.","Biztos vagyok benne, hogy jól tudok boldogulni a váratlan helyzetekben.",Πιστεύω για τον εαυτό μου ότι μπορώ να αντιμετωπίσω με αποτελεσματικότητα κάποια απροσδόκητα γεγονότα.,אני בטוח שאוכל להתמודד עם אירועים בלתי צפויים.,"В неочаквани ситуации, винаги знам, как да постъпя.",I oväntade situationer vet jag alltid hur jag skall agera.,Dalam situasi yang tidak terduga saya selalu tahu bagaimana saya harus bertingkah laku.,Beklenmedik durumlarda nasıl davranmam gerektiğini her zaman bilirim.,إذا واجهت مواقف غير متوقعة، أعرف دائماً كيف أتصرف فيها.,"Ես վստահ եմ, որ կկարողանամ անսպասելի դեպքերին հարմար կերպով դիմագրավել:",Am încredere că mă pot descurca eficient în situații neașteptate.,我自信能有效地應付任何突如其來的事情。,생각지도 않은 일이 있어도 나는 적당한 태도를 취할 수 있다.,مطمئن هستم که می‌توانم بطور مؤثری با مسائل غیرمترقبه روبرو شوم.,مجھے اعتماد ہے کہ میں غیر متوقع واقعات کا مستعدی سے مقابلہ کر سکتا/سکتی ہوں۔,मुझे अपने पर पूरा विश्वास है कि मैं अचानक होने वाली घटनाओं का कुशलता से सामना कर सकता/सकती हूं।
gse5,"Thanks to my resourcefulness, I can handle unforeseen situations.","Auch bei überraschenden Ereignissen glaube ich, daß ich gut mit ihnen zurechtkommen kann.","Grâce à ma débrouillardise, je sais comment faire face aux situations imprévues.",Gracias a mis cualidades y recursos puedo superar situaciones imprevistas.,"Graças ao meu desembaraço, eu sei como lidar com situações imprevistas.",Dankzij mijn vindingrijkheid weet ik hoe ik in onvoorziene situaties moet handelen.,"Grazie alle mie risorse, so come gestire situazioni impreviste.",私は色々な才略に長けているので、思いがけない場面に出くわしても、どうやってきりぬければよいのか分かる。,"Dzięki swojej pomysłowości i zaradności wiem, jak poradzić sobie z nieprzewidzianymi sytuacjami.",Takket være ressursene mine så vet jeg hvordan jeg skal takle uventede situasjoner.,"Takket være mine personlige ressourcer, ved jeg, hvordan jeg skal klare uforudsete situationer",Zaradi svoje iznajdljivosti se znam spoprijeti z nepredvidljivimi situacijami.,"Zahvaljujući mojoj snalažljivosti, ja znam kako da savladam nepredviđene situacije.","При непредвиденно возникающих трудностях я верю, что смогу с ними справиться.",Vďaka svojej dôvtipnosti sa dokážem vysporiadať s nepredvídateľnými situáciami,"Devido às minhas capacidades, sei como lidar com situações imprevistas.","Díky svým zkušenostem a možnostem vím, jak zvládat neočekávané situace.","Ötletességemnek köszönhetően, tudom miként kezeljem a váratlan helyzeteket.","Ευτυχώς, λόγω της εφευρητικότητάς μου ξέρω πάντοτε πως να χειρίζομαι απρόοπτες καταστάσεις.","הודות לתושייה שלי, אני יודע כיצד להתמודד עם מצבים בלתי צפויים.","Дори при изненадващи обстоятелства, вярвам, че добре ще се справя с тях.",Till och med överraskande situationer tror jag mig klara av bra.,"Juga dalam kejadian yang tidak terduga saya kira, bahwa saya akan dapat menanganinya dengan baik.",Ani olayların da hakkından geleceğimi sanıyorum.,أعتقد بأنني قادر على معالجة المشاكل بشكل جيد حتى ولو كانت مفاجئة.,"Հնարամտության շնորհիվ, գիտեմ ինչպես դիմագրավել չնախատեսված կացությունները:","Datorită abilităților mele, știu cum să „ies"" din situații imprevizibile.",以我的才智，我定能應付意料之外的情況。,뜻밖의 결과를 접해도 나는 잘 대처해 나갈 수 있다고 믿는다.,بخاطر ابتکار و شایستگی‌ام، میدانم چطور با موقعیت‌های غیرقابل پیش‌بینی مقابله کنم.,میری ذہانت ہونے کی بدولت میں غیر متوقع حالات کا مقابلہ کر سکتا/سکتی ہوں۔,"मुझे अपनी चातुर्य-सम्पन्नता पर गर्व है, मैं जानता/जानती हूं कि अनदेखी परिस्थितियों का सामना कैसे करना चाहिए।"
gse6,I can solve most problems if I invest the necessary effort.,"Wenn ein Problem auftaucht, kann ich es aus eigener Kraft meistern.",Je peux résoudre la plupart de mes problèmes si j'investis les efforts nécessaires.,Puedo resolver la mayoría de los problemas si me esfuerzo lo necesario.,Eu posso resolver a maioria de problemas se eu investir o esforço necessário.,Ik kan de meeste problemen oplossen als ik er de nodige moeite voor doe.,Posso risolvere la maggior parte dei problemi se ci metto il necessario impegno.,必要な努力さえ惜しまなければ、私はだいたいの問題を解決することができる。,"Jestem w stanie rozwiązać większość problemów, jeśli tylko włożę w to odpowiednio dużo wysiłku.",Jeg kan løse de fleste problemer hvis jeg går tilstrekkelig inn for det.,"Jeg kan løse de fleste problemer, hvis jeg yder den nødvendige indsats","Lahko razrešim večino problemov, če si za to dovolj prizadevam.",Ja mogu rešiti većinu problema ako uložim dovoljno napora.,"Если я приложу достаточно усилий, то смогу справиться с большинством проблем.","Viem nájsť východisko temer z každého problému, ak vynaložím patričné úsilie","Eu posso resolver a maioria dos problemas, se fizer o esforço necessário.","Vynaložím-li na to potřebné úsilí, pak mohu nalézti řešení pro téměř každý problém.",Megfelelő erőfeszítéssel majdnem minden problémára találok megoldást.,Μπορώ να λύσω τα περισσότερα προβλήματα εάν αφιερώσω την αναγκαία προσπάθεια.,"אני יכול למצוא פתרון כמעט לכל בעיה, אם אני משקיע מאמץ בכך.","Когато възникне проблем, имам почти винаги няколко идеи, как да го разреша.",När problem uppstår kan jag vanligtvis hantera dem av egen kraft.,"Kalau saya menghadapi kesulitan, biasanya saya mempunyai banyak ide untuk mengatasinya.",Her sorun için bir çözümüm vardır.,عندما أُحبس أمام مشكلة ما، أعرف كيف أتخلص منها بسهولة، لأنني أملك أفكاراً عديدة تساعدني على حلها.,"Եթե անհրաժեշտ ջանքը թափեմ, գրեթէ բոլոր հարցերը կկարողանամ լուծել:",Pot să rezolv cele mai multe dintre probleme dacă investesc efortul necesar.,如果我付出必要的努力，我一定能解決大多數的難題。,어떤 문제에 처해도 나는 여러가지 해결방법을 가지고 있다.,اگر به اندازه کافی تلاش کنم می‌توانم اکثر مشکلات را حل کنم.,میں اکثر مسائل کو حل کر سکتا/سکتی ہوں، اگر میں ضروری کوشش کروں۔,अक्सर मैं ठीक प्रयत्न करूं तो मैं अधिकतर समस्याओं का समाधान कर सकता/सकती हूं।
